FIPS,HR_UID,nameid,province,region,analysisTime,dates,compute_time,divergences,draws,tunes,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_025,pointinfectiousprevalence_50,pointinfectiousprevalence_975,infectrate_025,infectrate_50,infectrate_975
2105,0,USAlaskaHoonah-Angoon,Alaska,Hoonah-Angoon,2020-10-22 14:53:22.196260,2020-10-22 00:00:00.000000,0:33:13.407433,80,40,100,0.00000000,0.00000000,0.00000000,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.40265083,0.45182205,0.50100796
25007,0,USMassachusettsDukes,Massachusetts,Dukes,2020-10-21 19:21:48.962418,2020-10-21 00:00:00.000000,0:30:57.250118,80,40,100,0.00000000,0.00000000,0.00000000,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.32495958,0.34078235,0.35664150
25019,0,USMassachusettsNantucket,Massachusetts,Nantucket,2020-10-21 19:17:28.051493,2020-10-21 00:00:00.000000,0:32:48.119999,80,40,100,0.00000000,0.00000000,0.00000000,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.41283261,0.45496573,0.49709290
49003,0,USUtahBoxElder,Utah,Box Elder,2020-10-20 17:52:52.205339,2020-10-20 00:00:00.000000,0:30:33.271179,80,40,100,0.00000000,0.00000000,0.00000000,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.46950792,0.47274175,0.47603863
49009,0,USUtahDaggett,Utah,Daggett,2020-10-20 17:53:08.135840,2020-10-20 00:00:00.000000,0:31:13.883248,80,40,100,0.00000000,0.00000000,0.00000000,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.37452738,0.43013505,0.48572598
49023,0,USUtahJuab,Utah,Juab,2020-10-20 17:51:01.974526,2020-10-20 00:00:00.000000,0:32:45.675009,80,40,100,0.00000000,0.00000000,0.00000000,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.27673410,0.36221562,0.44767493
49027,0,USUtahMillard,Utah,Millard,2020-10-20 18:59:44.458210,2020-10-20 00:00:00.000000,1:42:32.902672,78,40,100,0.00000000,0.00000000,0.00000000,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.35104300,0.35525721,0.35988335
49029,0,USUtahMorgan,Utah,Morgan,2020-10-20 17:49:19.548046,2020-10-20 00:00:00.000000,0:33:03.133317,80,40,100,0.00000000,0.00000000,0.00000000,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.28557378,0.32365618,0.36174402
49031,0,USUtahPiute,Utah,Piute,2020-10-20 17:45:51.599779,2020-10-20 00:00:00.000000,0:30:49.062841,80,40,100,0.00000000,0.00000000,0.00000000,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.38500568,0.45787678,0.53082505
49033,0,USUtahRich,Utah,Rich,2020-10-20 17:44:49.038876,2020-10-20 00:00:00.000000,0:30:45.788616,80,40,100,0.00000000,0.00000000,0.00000000,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.51004897,0.53954807,0.56906627
49039,0,USUtahSanpete,Utah,Sanpete,2020-10-20 17:44:14.156549,2020-10-20 00:00:00.000000,0:32:43.362144,80,40,100,0.00000000,0.00000000,0.00000000,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.29357748,0.31851870,0.34344176
49041,0,USUtahSevier,Utah,Sevier,2020-10-20 17:39:21.987463,2020-10-20 00:00:00.000000,0:28:41.455323,80,40,100,0.00000000,0.00000000,0.00000000,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.25274998,0.31530570,0.37784106
49055,0,USUtahWayne,Utah,Wayne,2020-10-20 17:40:34.817811,2020-10-20 00:00:00.000000,0:34:19.048436,80,40,100,0.00000000,0.00000000,0.00000000,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.25845276,0.30590890,0.35340730
49057,0,USUtahWeber,Utah,Weber,2020-10-20 17:34:19.746711,2020-10-20 00:00:00.000000,0:31:01.583374,80,40,100,0.00000000,0.00000000,0.00000000,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.18932417,0.23221805,0.27511907
51159,0,USVirginiaRichmond,Virginia,Richmond,2021-11-10 06:50:45.037646,2021-11-10 00:00:00.000000,2:08:15.847338,76,40,100,0.22656201,0.42934978,0.90110279,20,38,81,16,29,59,0.17834269,0.33062411,0.65621812,0.34840513,0.41949160,0.68685025
0,0,ChinaTibet,Tibet,,2020-10-20 15:52:47.074040,2020-10-20 00:00:00.000000,0:33:49.125507,80,40,100,0.00000000,0.00000000,0.00000000,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.17401005,0.22309494,0.27211614
0,0,Spain,,,2021-11-10 01:21:34.358584,2021-11-10 00:00:00.000000,3:00:05.702640,73,40,100,0.02983459,0.04683974,0.06065094,13949,21899,28357,8403,11434,14340,0.01797306,0.02445719,0.03067104,1.52433646,1.88600861,2.07121661
